from Координаты игрока: X = -591.80999755859, Y = -297.95999145508, Z = 11488.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -438.92999267578, Y = -1211.7900390625, Z = 11720.389648438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = 564.90997314453, Y = -1710.8499755859, Z = -261.10998535156 | Название карты: de_mirage | to Координаты игрока: X = 22.290000915527, Y = -2165.5900878906, Z = -39.970001220703 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = 1253.1099853516, Y = 585.91998291016, Z = 125.0299987793 | Название карты: de_inferno | to Координаты игрока: X = 946.75, Y = 694.57000732422, Z = 105.86000061035 | Название карты: de_inferno | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -719.96997070313, Y = 130.83999633789, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -1830.3900146484, Y = 302.14001464844, Z = 11776.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -692.16998291016, Y = -806.66998291016, Z = -263.9700012207 | Название карты: de_mirage | to Координаты игрока: X = -1237.7299804688, Y = -1030.0600585938, Z = -167.9700012207 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -976.98999023438, Y = -438.29000854492, Z = 11777.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -1340.9000244141, Y = -474.55999755859, Z = 11776.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -596.52185058594, Y = -781.99536132813, Z = -263.23272705078 | Название карты: de_mirage | to Координаты игрока: X = -342.27545166016, Y = -2040.3206787109, Z = -176.62957763672 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = 2181.3200683594, Y = -255.35000610352, Z = 131.0299987793 | Название карты: de_inferno | to Координаты игрока: X = 1436.1400146484, Y = 182.64999389648, Z = 131.83999633789 | Название карты: de_inferno | Оружия: awp, auto, ssg08
from Координаты игрока: X = 2442.3100585938, Y = 500.35998535156, Z = 236.0299987793 | Название карты: de_inferno | to Координаты игрока: X = 1238.8900146484, Y = -115.40000152588, Z = 260.0299987793 | Название карты: de_inferno | Оружия: awp, auto, ssg08
from Координаты игрока: X = 1275.1300048828, Y = 1279.5, Z = 0.28000000119209 | Название карты: de_dust2 | to Координаты игрока: X = 622.76000976563, Y = 733.55999755859, Z = 0.93000000715256 | Название карты: de_dust2 | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1517.9899902344, Y = -1432.0100097656, Z = -259.9700012207 | Название карты: de_mirage | to Координаты игрока: X = -502.67001342773, Y = -655.95001220703, Z = -273.13000488281 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -1031.7700195313, Y = -2100.0400390625, Z = 340.0299987793 | Название карты: de_overpass | to Координаты игрока: X = -171.3199462891, Y = 471.66000366211, Z = 260.0299987793 | Название карты: de_overpass | Оружия: awp, auto, ssg08
from Координаты игрока: X = 2052.830078125, Y = 1049.7399902344, Z = 168.08999633789 | Название карты: de_inferno | to Координаты игрока: X = 2452.1398925781, Y = 1417.6500244141, Z = 157.7200012207 | Название карты: de_inferno | Оружия: awp, auto, ssg08
from Координаты игрока: X = 2173.2600097656, Y = -154.67999267578, Z = 159.0299987793 | Название карты: de_inferno | to Координаты игрока: X = 1298.3499755859, Y = -325.73999023438, Z = 260.0299987793 | Название карты: de_inferno | Оружия: awp, auto, ssg08
